Date,Open,High,Low,Close,Adj Close,Volume
2017-06-06,23523.050781,23536.099609,23381.699219,23416.300781,23416.300781,0
2017-06-07,23482.849609,23606.150391,23427.550781,23567.650391,23567.650391,0
2017-06-08,23630.349609,23659.099609,23514.199219,23536.099609,23536.099609,0
2017-06-09,23483.949219,23708.650391,23476.849609,23690.900391,23690.900391,0
2017-06-12,23610.150391,23630.099609,23441.800781,23470.449219,23470.449219,0
2017-06-13,23447.000000,23615.199219,23446.900391,23477.849609,23477.849609,0
2017-06-14,23555.300781,23562.800781,23399.400391,23498.699219,23498.699219,0
2017-06-15,23444.699219,23473.300781,23311.849609,23391.750000,23391.750000,0
2017-06-16,23448.599609,23527.650391,23391.000000,23502.750000,23502.750000,0
2017-06-19,23571.349609,23806.650391,23535.699219,23742.150391,23742.150391,0
2017-06-20,23720.599609,23760.349609,23651.199219,23697.949219,23697.949219,0
2017-06-21,23638.150391,23760.750000,23610.199219,23708.750000,23708.750000,0
2017-06-22,23716.849609,23897.849609,23694.150391,23736.099609,23736.099609,0
2017-06-23,23772.300781,23786.500000,23507.500000,23542.750000,23542.750000,0
2017-06-27,23636.949219,23640.099609,23055.750000,23216.250000,23216.250000,0
2017-06-28,23209.550781,23322.550781,23113.650391,23235.849609,23235.849609,0
2017-06-29,23312.400391,23476.000000,23124.349609,23227.300781,23227.300781,0
2017-06-30,23137.250000,23254.099609,22996.400391,23211.199219,23211.199219,0
2017-07-03,23240.349609,23330.099609,23144.300781,23272.800781,23272.800781,0
2017-07-04,23325.500000,23363.050781,23163.699219,23214.199219,23214.199219,0
2017-07-05,23241.900391,23380.349609,23205.550781,23352.599609,23352.599609,0
2017-07-06,23399.500000,23540.150391,23369.500000,23466.650391,23466.650391,0
2017-07-07,23463.750000,23492.599609,23400.599609,23449.150391,23449.150391,0
2017-07-10,23583.250000,23964.800781,23289.900391,23675.050781,23675.050781,0
2017-07-11,23744.550781,23744.550781,23552.599609,23584.599609,23584.599609,0
2017-07-12,23623.750000,23736.550781,23523.650391,23695.449219,23695.449219,0
2017-07-13,23817.250000,23938.000000,23811.000000,23888.650391,23888.650391,0
2017-07-14,23949.500000,23963.650391,23755.949219,23937.699219,23937.699219,0
2017-07-17,24011.400391,24066.099609,23913.650391,24015.050781,24015.050781,0
2017-07-18,23958.150391,24147.449219,23942.099609,24022.050781,24022.050781,0
2017-07-19,24069.199219,24180.750000,24053.699219,24152.650391,24152.650391,0
2017-07-20,24170.650391,24299.599609,24170.650391,24213.349609,24213.349609,0
2017-07-21,24231.400391,24289.300781,24066.900391,24257.050781,24257.050781,0
2017-07-24,24307.699219,24460.550781,24234.650391,24420.849609,24420.849609,0
2017-07-25,24622.900391,24624.650391,24450.199219,24520.699219,24520.699219,0
